0,1,2,3
Qualified Small Employer HRA (QSEHRA),https://www.law.cornell.edu/uscode/text/26/105,Statute,26 U.S.C. § 105
,https://www.law.cornell.edu/uscode/text/26/9831,Statute,26 U.S.C. § 9831(d)
Final Rule: HRAs & Other Account-Based Group Health Plans,https://www.federalregister.gov/documents/2019/06/20/2019-12571/health-reimbursement-arrangements-and-other-account-based-group-health-plans,FinalRule,84 FR 28888 
COBRA excise tax,https://www.law.cornell.edu/uscode/text/26/4980B,Statute,26 U.S.C. § 4980B
Shared Responsibility for Employers Regarding Health Coverage,https://www.ecfr.gov/current/title-26/chapter-I/subchapter-D/part-54/section-54.4980H-0,Regulation,26 CFR 54.4980H
ERISA COBRA continuation,https://uscode.house.gov/view.xhtml?path=/prelim@title29/chapter18/subchapter1/subtitleB/part6,Statute,29 U.S.C. §§ 1161–1168
COBRA general notice framework,https://www.ecfr.gov/current/title-29/part-2590/subpart-G,Regulation,29 CFR 2590.606-1
COBRA election notice requirements,https://www.ecfr.gov/current/title-29/part-2590/subpart-A/section-2590.606-4,Regulation,29 CFR 2590.606-4
HIPAA Notice of Privacy Practices (NPP),https://www.ecfr.gov/current/title-45/part-164/section-164.520,Regulation,45 CFR 164.520
ICHRA integration with individual coverage/Medicare,https://www.ecfr.gov/current/title-26/part-54/section-54.9802-4,Regulation,26 CFR 54.9802-4
Excepted Benefit HRA (EBHRA),https://www.ecfr.gov/current/title-26/part-54/section-54.9831-1,Regulation,26 CFR 54.9831-1(c)(3)(viii)
Integration rules for account-based plans (group coverage),https://www.ecfr.gov/current/title-26/part-54/section-54.9815-2711,Regulation,26 CFR 54.9815-2711(d)
HHS parallel (integration/excepted benefits),https://www.ecfr.gov/current/title-45/part-146/section-146.123,Regulation,45 CFR 146.123
2025 ACA affordability = 9.02%,https://www.irs.gov/pub/irs-drop/rp-24-35.pdf,RevProc,Rev. Proc. 2024-35
Premium Tax Credit (PTC) guidance,https://www.irs.gov/pub/irs-pdf/p974.pdf,Publication,IRS Publication 974 (2024/2025)
"EBHRA 2025 cap = $2,150",https://www.irs.gov/pub/irs-drop/rp-24-25.pdf,RevProc,Rev. Proc. 2024-25
"QSEHRA 2025 caps = $6,350/$12,800",https://www.irs.gov/pub/irs-drop/rp-24-40.pdf,RevProc,Rev. Proc. 2024-40
Health Reimbursement Arrangements,https://www.irs.gov/pub/irs-drop/n-02-45.pdf,Notice,IRS Notice 2002-45
HRA integration guidance (group),https://www.irs.gov/pub/irs-irbs/irb02-28.pdf,Ruling,Rev. Rul. 2002-41
QSEHRA guidance,https://www.irs.gov/pub/irs-drop/n-17-67.pdf,Notice,IRS Notice 2017-67
Promoting Healthcare Choice and Competition Across the United States,https://www.federalregister.gov/documents/2017/10/17/2017-22677/promoting-healthcare-choice-and-competition-across-the-united-states,Executive Order,EO 13813
Strengthening Medicaid and the Affordable Care Act,https://www.federalregister.gov/documents/2021/02/02/2021-02252/strengthening-medicaid-and-the-affordable-care-act,Executive Order, EO 14009
Initial Rescissions of Harmful Executive Orders and Actions,https://www.federalregister.gov/documents/2025/01/28/2025-01901/initial-rescissions-of-harmful-executive-orders-and-actions,Executive Order,EO 14148
Defining Employee,https://www.ecfr.gov/current/title-26/section-31.3401(c)-1#p-31.3401(c)-1(b),Regulation,26 CFR 31.3401(c)-1
Common law standard to define employer,https://www.ecfr.gov/current/title-26/section-31.3121(d)-1#p-31.3121(d)-1(c),Regulation,26 CFR 31.3121(d)-1(c)
Requirement to maintain minimum essential coverage,https://www.law.cornell.edu/uscode/text/26/5000A,Statute,26 USC § 5000A(f)(1) 
